#Time	Computed	Exact
9.175	1724.5	1719.35
9.2	1756.42	1751.36
9.225	1788.34	1783.38
9.25	1820.25	1815.4
9.275	1852.12	1847.38
9.3	1883.93	1879.31
9.325	1915.67	1911.17
9.35	1947.31	1942.94
9.375	1978.84	1974.6
9.4	2010.23	2006.12
9.425	2041.45	2037.48
9.45	2072.5	2068.67
9.475	2103.35	2099.66
9.5	2133.97	2130.44
9.525	2164.35	2160.97
9.55	2194.46	2191.24
9.575	2224.29	2221.24
9.6	2253.82	2250.92
9.625	2283.02	2280.29
9.65	2311.87	2309.31
9.675	2340.36	2337.97
9.7	2368.46	2366.25
9.725	2396.16	2394.12
9.75	2423.43	2421.57
9.775	2450.25	2448.58
9.8	2476.62	2475.13
9.825	2502.51	2501.2
9.85	2527.9	2526.77
9.875	2552.77	2551.83
9.9	2577.11	2576.36
9.925	2600.91	2600.35
9.95	2624.14	2623.77
9.975	2646.79	2646.61
10	2668.86	2668.87
10.025	2690.31	2690.51
10.05	2711.15	2711.53
10.075	2731.35	2731.93
10.1	2750.91	2751.67
10.125	2769.81	2770.76
10.15	2788.04	2789.18
10.175	2805.6	2806.93
10.2	2822.47	2823.98
10.225	2838.64	2840.34
10.25	2854.12	2855.99
10.275	2868.88	2870.93
10.3	2882.93	2885.16
10.325	2896.25	2898.66
10.35	2908.85	2911.43
10.375	2920.71	2923.46
10.4	2931.84	2934.76
10.425	2942.23	2945.31
10.45	2951.88	2955.13
10.475	2960.79	2964.2
10.5	2968.96	2972.52
10.525	2976.39	2980.1
10.55	2983.08	2986.94
10.575	2989.03	2993.03
10.6	2994.24	2998.38
10.625	2998.72	3003
10.65	3002.47	3006.88
10.675	3005.5	3010.04
10.7	3007.81	3012.47
10.725	3009.4	3014.18
10.75	3010.28	3015.18
10.775	3010.47	3015.48
10.8	3009.96	3015.08
10.825	3008.77	3013.99
10.85	3006.9	3012.22
10.875	3004.37	3009.78
10.9	3001.18	3006.68
10.925	2997.34	3002.92
10.95	2992.87	2998.53
10.975	2987.78	2993.51
11	2982.07	2987.88
11.025	2975.76	2981.64
11.05	2968.87	2974.8
11.075	2961.4	2967.39
11.1	2953.38	2959.42
11.125	2944.8	2950.89
11.15	2935.69	2941.83
11.175	2926.07	2932.24
11.2	2915.93	2922.14
11.225	2905.31	2911.55
11.25	2894.22	2900.48
11.275	2882.66	2888.94
11.3	2870.66	2876.96
11.325	2858.23	2864.54
11.35	2845.39	2851.71
11.375	2832.14	2838.47
11.4	2818.52	2824.85
11.425	2804.53	2810.85
11.45	2790.19	2796.5
11.475	2775.51	2781.82
11.5	2760.51	2766.8
11.525	2745.2	2751.48
11.55	2729.61	2735.87
11.575	2713.74	2719.98
11.6	2697.62	2703.83
11.625	2681.25	2687.43
11.65	2664.65	2670.8
11.675	2647.84	2653.96
11.7	2630.83	2636.91
11.725	2613.64	2619.68
11.75	2596.28	2602.27
11.775	2578.76	2584.71
11.8	2561.1	2567
11.825	2543.31	2549.16
11.85	2525.4	2531.2
11.875	2507.39	2513.14
11.9	2489.3	2494.99
11.925	2471.12	2476.76
11.95	2452.89	2458.46
11.975	2434.6	2440.11
12	2416.27	2421.72
12.025	2397.9	2403.3
12.05	2379.53	2384.85
12.075	2361.14	2366.4
12.1	2342.75	2347.95
12.125	2324.38	2329.51
12.15	2306.03	2311.09
12.175	2287.71	2292.7
12.2	2269.43	2274.36
12.225	2251.2	2256.06
12.25	2233.03	2237.81
12.275	2214.92	2219.64
12.3	2196.88	2201.53
12.325	2178.93	2183.51
12.35	2161.06	2165.57
12.375	2143.29	2147.72
12.4	2125.62	2129.98
12.425	2108.05	2112.34
12.45	2090.6	2094.82
12.475	2073.26	2077.41
12.5	2056.05	2060.13
12.525	2038.96	2042.97
12.55	2022.01	2025.94
12.575	2005.19	2009.06
12.6	1988.51	1992.31
12.625	1971.97	1975.7
12.65	1955.58	1959.25
12.675	1939.35	1942.94
12.7	1923.26	1926.79
12.725	1907.33	1910.79
12.75	1891.56	1894.96
12.775	1875.95	1879.28
12.8	1860.49	1863.76
12.825	1845.21	1848.41
12.85	1830.09	1833.23
12.875	1815.13	1818.21
12.9	1800.34	1803.36
12.925	1785.72	1788.68
12.95	1771.27	1774.17
12.975	1756.98	1759.83
13	1742.87	1745.65
13.025	1728.92	1731.65
13.05	1715.15	1717.82
13.075	1701.54	1704.16
13.1	1688.1	1690.67
13.125	1674.83	1677.35
13.15	1661.73	1664.19
13.175	1648.8	1651.21
13.2	1636.03	1638.39
13.225	1623.43	1625.74
13.25	1610.99	1613.25
13.275	1598.71	1600.93
13.3	1586.6	1588.77
13.325	1574.65	1576.78
13.35	1562.86	1564.94
13.375	1551.22	1553.26
13.4	1539.74	1541.74
13.425	1528.42	1530.38
13.45	1517.25	1519.17
13.475	1506.23	1508.11
13.5	1495.37	1497.2
13.525	1484.65	1486.45
13.55	1474.07	1475.84
13.575	1463.65	1465.37
13.6	1453.36	1455.05
13.625	1443.21	1444.87
13.65	1433.21	1434.83
13.675	1423.34	1424.93
13.7	1413.61	1415.16
13.725	1404	1405.53
13.75	1394.53	1396.03
13.775	1385.19	1386.66
13.8	1375.98	1377.42
13.825	1366.89	1368.3
13.85	1357.93	1359.31
13.875	1349.09	1350.44
13.9	1340.36	1341.69
13.925	1331.76	1333.06
13.95	1323.27	1324.54
13.975	1314.89	1316.14
14	1306.63	1307.85
14.025	1298.47	1299.67
14.05	1290.43	1291.6
14.075	1282.49	1283.64
14.1	1274.65	1275.78
14.125	1266.92	1268.03
14.15	1259.28	1260.38
14.175	1251.75	1252.82
14.2	1244.31	1245.37
14.225	1236.97	1238.01
14.25	1229.73	1230.74
14.275	1222.57	1223.57
14.3	1215.51	1216.49
14.325	1208.53	1209.49
14.35	1201.65	1202.59
14.375	1194.84	1195.77
14.4	1188.13	1189.04
14.425	1181.49	1182.39
14.45	1174.94	1175.82
14.475	1168.47	1169.33
14.5	1162.07	1162.92
14.525	1155.75	1156.59
14.55	1149.51	1150.33
14.575	1143.34	1144.15
14.6	1137.24	1138.04
14.625	1131.22	1132
14.65	1125.27	1126.03
14.675	1119.38	1120.14
14.7	1113.56	1114.31
14.725	1107.81	1108.54
14.75	1102.13	1102.85
14.775	1096.51	1097.22
14.8	1090.95	1091.65
14.825	1085.45	1086.14
14.85	1080.02	1080.7
14.875	1074.64	1075.31
14.9	1069.33	1069.98
14.925	1064.07	1064.72
14.95	1058.87	1059.51
14.975	1053.72	1054.35
15	1048.63	1049.25
15.025	1043.6	1044.2
15.05	1038.61	1039.21
15.075	1033.68	1034.27
15.1	1028.8	1029.38
15.125	1023.97	1024.55
15.15	1019.19	1019.76
15.175	1014.46	1015.02
15.2	1009.78	1010.33
15.225	1005.14	1005.69
15.25	1000.55	1001.09
15.275	996.01	996.538
15.3	991.511	992.032
15.325	987.057	987.571
15.35	982.646	983.153
15.375	978.278	978.779
15.4	973.953	974.447
15.425	969.669	970.156
15.45	965.425	965.907
15.475	961.222	961.697
15.5	957.059	957.528
15.525	952.935	953.398
15.55	948.849	949.307
15.575	944.802	945.253
15.6	940.791	941.237
15.625	936.818	937.258
15.65	932.88	933.315
15.675	928.979	929.408
15.7	925.112	925.536
15.725	921.28	921.699
15.75	917.483	917.897
15.775	913.719	914.128
15.8	909.988	910.392
15.825	906.29	906.69
15.85	902.625	903.019
15.875	898.991	899.381
15.9	895.389	895.774
15.925	891.817	892.198
15.95	888.276	888.653
15.975	884.766	885.138
16	881.284	881.653
16.025	877.833	878.197
16.05	874.41	874.77
16.075	871.016	871.372
16.1	867.65	868.002
16.125	864.311	864.66
16.15	861.001	861.345
