#Time	Computed	Exact
12.1	2692.31	2696.8
12.125	2685.33	2689.83
12.15	2678.09	2682.6
12.175	2670.61	2675.13
12.2	2662.9	2667.42
12.225	2654.95	2659.48
12.25	2646.77	2651.31
12.275	2638.37	2642.92
12.3	2629.76	2634.31
12.325	2620.95	2625.49
12.35	2611.92	2616.47
12.375	2602.71	2607.25
12.4	2593.3	2597.84
12.425	2583.71	2588.24
12.45	2573.93	2578.47
12.475	2563.99	2568.51
12.5	2553.88	2558.39
12.525	2543.6	2548.11
12.55	2533.17	2537.67
12.575	2522.59	2527.08
12.6	2511.87	2516.34
12.625	2501	2505.47
12.65	2490	2494.45
12.675	2478.88	2483.31
12.7	2467.63	2472.04
12.725	2456.26	2460.66
12.75	2444.78	2449.16
12.775	2433.19	2437.55
12.8	2421.5	2425.85
12.825	2409.71	2414.04
12.85	2397.83	2402.14
12.875	2385.87	2390.15
12.9	2373.82	2378.08
12.925	2361.69	2365.93
12.95	2349.49	2353.7
12.975	2337.23	2341.41
13	2324.9	2329.06
13.025	2312.51	2316.64
13.05	2300.07	2304.17
13.075	2287.57	2291.65
13.1	2275.03	2279.08
13.125	2262.45	2266.48
13.15	2249.84	2253.83
13.175	2237.19	2241.15
13.2	2224.51	2228.44
13.225	2211.8	2215.71
13.25	2199.08	2202.95
13.275	2186.33	2190.17
13.3	2173.58	2177.39
13.325	2160.81	2164.59
13.35	2148.04	2151.78
13.375	2135.26	2138.97
13.4	2122.49	2126.17
13.425	2109.72	2113.36
13.45	2096.95	2100.56
13.475	2084.2	2087.78
13.5	2071.46	2075
13.525	2058.74	2062.24
13.55	2046.03	2049.51
13.575	2033.35	2036.79
13.6	2020.69	2024.1
13.625	2008.07	2011.44
13.65	1995.47	1998.8
13.675	1982.9	1986.2
13.7	1970.37	1973.64
13.725	1957.88	1961.11
13.75	1945.43	1948.63
13.775	1933.03	1936.18
13.8	1920.66	1923.79
13.825	1908.35	1911.44
13.85	1896.08	1899.13
13.875	1883.87	1886.88
13.9	1871.71	1874.69
13.925	1859.6	1862.54
13.95	1847.55	1850.46
13.975	1835.56	1838.43
14	1823.63	1826.47
14.025	1811.76	1814.56
14.05	1799.95	1802.72
14.075	1788.21	1790.94
14.1	1776.53	1779.23
14.125	1764.92	1767.59
14.15	1753.39	1756.02
14.175	1741.92	1744.51
14.2	1730.52	1733.08
14.225	1719.19	1721.72
14.25	1707.94	1710.44
14.275	1696.76	1699.22
14.3	1685.66	1688.09
14.325	1674.63	1677.03
14.35	1663.68	1666.04
14.375	1652.8	1655.14
14.4	1642.01	1644.31
14.425	1631.29	1633.56
14.45	1620.65	1622.89
14.475	1610.1	1612.3
14.5	1599.62	1601.79
14.525	1589.22	1591.37
14.55	1578.91	1581.02
14.575	1568.68	1570.76
14.6	1558.53	1560.58
14.625	1548.46	1550.48
14.65	1538.48	1540.47
14.675	1528.57	1530.54
14.7	1518.75	1520.69
14.725	1509.02	1510.92
14.75	1499.36	1501.24
14.775	1489.79	1491.64
14.8	1480.31	1482.13
14.825	1470.91	1472.7
14.85	1461.59	1463.35
14.875	1452.35	1454.09
14.9	1443.2	1444.91
14.925	1434.12	1435.81
14.95	1425.14	1426.8
14.975	1416.23	1417.87
15	1407.41	1409.02
15.025	1398.67	1400.26
15.05	1390.01	1391.57
15.075	1381.43	1382.97
15.1	1372.94	1374.45
15.125	1364.52	1366.01
15.15	1356.19	1357.65
15.175	1347.93	1349.38
15.2	1339.76	1341.18
15.225	1331.66	1333.06
15.25	1323.65	1325.02
15.275	1315.71	1317.06
15.3	1307.85	1309.18
15.325	1300.06	1301.38
15.35	1292.36	1293.65
15.375	1284.73	1286
15.4	1277.18	1278.43
15.425	1269.7	1270.93
15.45	1262.3	1263.51
15.475	1254.97	1256.16
15.5	1247.71	1248.89
15.525	1240.53	1241.69
15.55	1233.42	1234.56
15.575	1226.39	1227.5
15.6	1219.42	1220.52
15.625	1212.53	1213.61
15.65	1205.7	1206.77
15.675	1198.95	1199.99
15.7	1192.26	1193.29
